0;0;109
0;1;253
0;2;81
0;3;25
0;4;29
0;5;35
0;6;21
0;7;19
0;8;15
0;9;19
0;10;15
0;11;17
0;12;25
0;13;15
0;14;15
0;15;15
1;0;69
1;1;183
1;2;67
1;3;27
1;4;67
1;5;35
1;6;27
1;7;19
1;8;39
1;9;19
1;10;29
1;11;19
1;12;21
1;13;17
1;14;15
1;15;15
1;16;15
2;0;63
2;1;177
2;2;85
2;3;47
2;4;47
2;5;23
2;6;21
2;7;19
2;8;39
2;9;15
2;10;27
2;11;19
2;12;15
2;13;15
2;14;15
3;0;161
3;1;131
3;2;17
3;3;25
3;4;23
3;5;37
3;6;21
3;7;15
3;8;29
3;9;15
3;10;17
3;11;15
3;12;15
3;13;15
4;0;147
4;1;43
4;2;69
4;3;35
4;4;41
4;5;37
4;6;23
4;7;21
4;8;21
4;9;25
4;10;29
4;11;15
4;12;15
4;13;15
